track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
1,00:00,0,IKØN,Fly,Iboga Records,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
2,05:39,339,Zen Mechanics Ft Future Frequency,"Naked, Stoned & Exalted (Symbolic & Audiotec rmx)",Sourcecode Transmissions,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
3,09:29,569,Avalon and Symbolic,Modern Age,Nano Records,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
4,13:39,819,Sideform,Advanced Civilization,Digital Om,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
5,17:21,1041,Inner Sphere,Euphoria,TechSafari Records,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
6,21:18,1278,Sideform,Orbital Spin,Iboga Records,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
7,24:43,1483,Liftshift & Out of Range,Savor The Flavor,Zero One Music,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
8,28:40,1720,Liftshift & Divination,Inside You,Zero One Music,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
9,31:00,1860,GMS & Shanti V Deedrah,Techno Culture,Dreamstate,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
10,34:21,2061,Xandar,Perspective,TesseracTstudio,Progressive Psytrance Year's End mix 2025 part II,https://youtube.com/watch?v=T8uYxgIr3vM,T8uYxgIr3vM,2025-12-21,Progressive Psytrance
