track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
1,00:00,0,Space Cat & Prastix,Transform (Flow Theory Remix),Tribeadelic Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
2,04:30,270,Electric Universe,Himalaya Remix,sacred Technology,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
3,08:12,492,Solarix & Mercuroid,Labyrinth of Thought,Expo Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
4,11:08,668,Deliriant,Echoes in the Infinite,Expo Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
5,13:22,802,Sabretooth,Synaptic Surge,BMSS Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
6,16:32,992,Dual Vision & Razzle Dazzle,Psychedelic Reaction,Iono Music,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
7,20:33,1233,Other Dimension,Outside The Universe,Nano Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
8,23:44,1424,Complicated,The Future Awaits,Metabolizm Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
9,27:59,1679,Mercuroid and Morsei,The Choice,Iono Music,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
10,31:34,1894,Out Of Range,A Matter Of Time,TesseracTstudio,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
11,34:54,2094,Mahaya & Out of Silence,Between Giants (DoubKore Remix),DoubSquare Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
12,39:06,2346,Mirok,Alien Technology,Grasshopper Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
13,42:38,2558,MoRsei,Atmosphere,Dacru Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
14,46:16,2776,Biological & Anacreon,One Giant Consciousness,Antu Records,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
15,51:34,3094,Cosmic Sidekick,Beyond the Atmosphere,Iono Music,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
16,55:07,3307,Middle Mode,Alchemist (Inner Lux rmx),Digital Om,Psychedelic Trance mix November 2025,https://youtube.com/watch?v=vUSQPNzjSpM,vUSQPNzjSpM,2025-11-30,Psychedelic Trance
1,00:00:00,0,SETI Project,Reality,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
2,00:07:44,464,SETI Project,Mescaline,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
3,00:14:07,847,SETI Project,Forty Two,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
5,00:27:34,1654,SETI Project,Magnetar,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
6,00:33:45,2025,SETI Project,Driven To Madness,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
7,00:39:50,2390,SETI Project,Fear And Loathing,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
8,00:47:03,2823,SETI Project,Mutagene,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
9,00:52:47,3167,SETI Project,Boom Shankar,,Guest mix - SETI Project - Inner Worlds Album Promomix  #psychedelictrance #goatrance #psytrance,https://youtube.com/watch?v=hyaoR7uRlSs,hyaoR7uRlSs,2025-10-14,Psychedelic Trance
1,00:00,0,Dennyck,portal of madness,unreleased,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
